"17435392","17436671","CN","China","Fujian","Fuzhou"
"17436672","17465343","CN","China","Guangdong","Guangzhou"
"17465344","17466623","TH","Thailand","Krung Thep","Bangkok"
"17466624","17466879","TH","Thailand","Sukhothai","Si Samrong"
"17466880","17467647","TH","Thailand","Krung Thep","Bangkok"
"17467648","17467903","TH","Thailand","Phangnga","Phangnga"
"17496576","17497343","TH","Thailand","Krung Thep","Bangkok"
"17497344","17497599","TH","Thailand","Sakon Nakhon","Sakon Nakhon"
"17497600","17498111","TH","Thailand","Krung Thep","Bangkok"
"17498112","17524223","KR","Korea, Republic of","Seoul-t'ukpyolsi","Seoul"
"17524224","17524479","KR","Korea, Republic of","Kyonggi-do","Bucheon"
"17524480","17540607","KR","Korea, Republic of","Seoul-t'ukpyolsi","Seoul"
"17540608","17540863","KR","Korea, Republic of","Kyonggi-do","Bucheon"
"17540864","17563647","KR","Korea, Republic of","Seoul-t'ukpyolsi","Seoul"
"17563648","17825791","CN","China","Beijing","Beijing"
"17825792","18087935","KR","Korea, Republic of","Seoul-t'ukpyolsi","Seoul"
"18087936","18088191","TH","Thailand","Songkhla","Sadao"
"18153472","18167807","JP","Japan","Tokyo","Tokyo"
"18167808","18168063","JP","Japan","Shimane","Masuda"
"18168064","18183423","JP","Japan","Tokyo","Tokyo"
"18183424","18183679","JP","Japan","Saitama","Wako"
"18183680","18219007","JP","Japan","Tokyo","Tokyo"
"18219008","18219263","IN","India","Maharashtra","Mumbai"
"18219264","18220031","IN","India","Delhi","New Delhi"
"18220032","18220287","IN","India","Gujarat","Himatnagar"
"18220288","18220543","IN","India","Maharashtra","Mumbai"
"18220544","18220799","IN","India","Telangana","Hyderabad"
"18220800","18221311","IN","India","Maharashtra","Mumbai"
"18221312","18221567","IN","India","Maharashtra","Vasai-Virar"
"18221568","18221823","IN","India","Karnataka","Bangalore"
"18221824","18222335","IN","India","Delhi","New Delhi"
"18222336","18222847","IN","India","Maharashtra","Mumbai"
"18222848","18223103","IN","India","Delhi","New Delhi"
"18223104","18223615","IN","India","Andhra Pradesh","Vishakhapatnam"
"18223616","18223871","IN","India","Andhra Pradesh","Gajuwaka"
"18223872","18224127","IN","India","Maharashtra","Mumbai"
"18224128","18225151","IN","India","Delhi","New Delhi"
"18225152","18225663","IN","India","Tamil Nadu","Coimbatore"
"18225664","18225919","IN","India","Madhya Pradesh","Indore"
"18225920","18226175","IN","India","Gujarat","Rajkot"
"18226176","18227199","IN","India","Delhi","New Delhi"
"18227200","18227455","IN","India","Haryana","Faridabad"
"18227456","18227711","IN","India","Haryana","Gurgaon"
"18227712","18227967","IN","India","Delhi","New Delhi"
"18227968","18228223","IN","India","Delhi","Pitampura"
"18228224","18228479","IN","India","Delhi","New Delhi"
"18228480","18228735","IN","India","Haryana","Gurgaon"
"18228736","18228991","IN","India","Uttar Pradesh","Dasna"
"18228992","18229247","IN","India","Haryana","Gurgaon"
"18229248","18229759","IN","India","Maharashtra","Pune"
"18229760","18230015","IN","India","Delhi","New Delhi"
"18230016","18230271","IN","India","Maharashtra","Pimpri"
"18230272","18230527","IN","India","Maharashtra","Mumbai"
"18230528","18230783","IN","India","Delhi","New Delhi"
"18230784","18231295","IN","India","Tamil Nadu","Chennai"
"18231296","18231551","IN","India","Maharashtra","Mumbai"
"18231552","18232063","IN","India","Karnataka","Bangalore"
"18232064","18232319","IN","India","Maharashtra","Mumbai"
"18232320","18232831","IN","India","Karnataka","Bangalore"
"18232832","18233087","IN","India","Gujarat","Surat"
"18233088","18233343","IN","India","Maharashtra","Mumbai"
"18233344","18233599","IN","India","Karnataka","Yelahanka"
"18233600","18233855","IN","India","Karnataka","Bangalore"
"18233856","18234367","IN","India","Maharashtra","Mumbai"
"18234368","18234623","IN","India","Delhi","New Delhi"
"18234624","18234879","IN","India","Karnataka","Bangalore"
"18234880","18235135","IN","India","Maharashtra","Pune"
"18235136","18235391","IN","India","Maharashtra","Mumbai"
"18235392","18236159","IN","India","Maharashtra","Nagpur"
"18236160","18236415","IN","India","Maharashtra","Mumbai"
"18236416","18236671","IN","India","Maharashtra","Powai"
"18236672","18236927","IN","India","Maharashtra","Mumbai"
"18236928","18237183","IN","India","Karnataka","Bangalore"
"18237184","18237439","IN","India","Karnataka","Yelahanka"
"18237440","18237951","IN","India","Uttar Pradesh","Lucknow"
"18237952","18238463","IN","India","Karnataka","Bangalore"
"18238464","18238719","IN","India","Maharashtra","Khadki"
"18238720","18238975","IN","India","Maharashtra","Pune"
"18238976","18239231","IN","India","Delhi","New Delhi"
"18239232","18239487","IN","India","Maharashtra","Mumbai"
"18239488","18240511","IN","India","Gujarat","Vadodara"
"18240512","18241535","IN","India","Madhya Pradesh","Indore"
"18241536","18242047","IN","India","Gujarat","Rajkot"
"18242048","18242303","IN","India","Gujarat","Surat"
"18242304","18242559","IN","India","Delhi","Delhi"
"18242560","18242815","IN","India","Maharashtra","Mumbai"
"18242816","18243071","IN","India","Delhi","New Delhi"
"18243072","18243839","IN","India","Gujarat","Surat"
"18243840","18244095","IN","India","Gujarat","Utran"
"18244096","18244863","IN","India","Gujarat","Surat"
"18244864","18245119","IN","India","Gujarat","Utran"
"18245120","18245375","IN","India","Maharashtra","Mumbai"
"18245376","18245631","IN","India","Gujarat","Surat"
"18245632","18245887","IN","India","Maharashtra","Thane"
"18245888","18247679","IN","India","Maharashtra","Mumbai"
"18247680","18248191","IN","India","Madhya Pradesh","Bhopal"
"18248192","18248447","IN","India","Maharashtra","Mumbai"
"18248448","18248959","IN","India","Karnataka","Bangalore"
"18248960","18249215","IN","India","Telangana","Hyderabad"
"18249216","18249471","IN","India","West Bengal","Haora"
"18249472","18249727","IN","India","Delhi","New Delhi"
"18249728","18250751","IN","India","Uttar Pradesh","Kanpur"
"18250752","18251007","IN","India","Maharashtra","Shivaji Nagar"
"18251008","18251263","IN","India","Maharashtra","Mumbai"
"18251264","18251519","IN","India","Madhya Pradesh","Balaghat"
"18251520","18251775","IN","India","Uttar Pradesh","Kanpur"
"18251776","18252031","IN","India","Delhi","New Delhi"
"18252032","18252287","IN","India","Haryana","Faridabad"
"18252288","18252799","IN","India","Delhi","New Delhi"
"18252800","18253311","IN","India","Uttar Pradesh","Kanpur"
"18253312","18253567","IN","India","Maharashtra","Mumbai"
"18253568","18253823","IN","India","Delhi","New Delhi"
"18253824","18254079","IN","India","Andhra Pradesh","Vishakhapatnam"
"18254080","18254335","IN","India","Tamil Nadu","Coimbatore"
"18254336","18254591","IN","India","Maharashtra","Mumbai"
"18254592","18254847","IN","India","Tamil Nadu","Coimbatore"
"18254848","18255871","IN","India","Maharashtra","Pune"
"18255872","18256127","IN","India","Delhi","New Delhi"
"18256128","18256383","IN","India","Maharashtra","Pimpri"
"18256384","18256639","IN","India","Karnataka","Bangalore"
"18256640","18257919","IN","India","Delhi","New Delhi"
"18257920","18258175","IN","India","Maharashtra","Mumbai"
"18258176","18258431","IN","India","Delhi","New Delhi"
"18258432","18258687","IN","India","Madhya Pradesh","Balaghat"
"18258688","18258943","IN","India","Uttar Pradesh","Lucknow"
"18258944","18259199","IN","India","Delhi","Delhi"
"18259200","18259455","IN","India","Uttar Pradesh","Lucknow"
"18259456","18259711","IN","India","Delhi","Delhi"
"18259712","18259967","IN","India","Delhi","New Delhi"
"18259968","18260223","IN","India","Gujarat","Vadodara"
"18260224","18260479","IN","India","Gujarat","Rajkot"
"18260480","18260735","IN","India","Delhi","New Delhi"
"18260736","18260991","IN","India","Gujarat","Rajkot"
"18260992","18261503","IN","India","Uttar Pradesh","Dasna"
"18261504","18262015","IN","India","Delhi","New Delhi"
"18262016","18262271","IN","India","Uttar Pradesh","Pihani"
"18262272","18262783","IN","India","Delhi","New Delhi"
"18262784","18263039","IN","India","Tamil Nadu","Coimbatore"
"18263040","18263295","IN","India","Tamil Nadu","Chennai"
"18263296","18263551","IN","India","Uttar Pradesh","Kanpur"
"18263552","18264063","IN","India","Haryana","Gurgaon"
"18264064","18264575","IN","India","Delhi","New Delhi"
"18264576","18264831","IN","India","Madhya Pradesh","Indore"
"18264832","18265343","IN","India","Delhi","New Delhi"
"18265344","18265599","IN","India","Tamil Nadu","Coimbatore"
"18265600","18265855","IN","India","Maharashtra","Mumbai"
"18265856","18266111","IN","India","Karnataka","Bangalore"
"18266112","18266623","IN","India","Maharashtra","Mumbai"
"18266624","18267135","IN","India","Uttar Pradesh","Lucknow"
"18267136","18267391","IN","India","Maharashtra","Mumbai"
"18267392","18267647","IN","India","Delhi","New Delhi"
"18267648","18267903","IN","India","Maharashtra","Washim"
"18267904","18268159","IN","India","Karnataka","Bangalore"
"18268160","18268415","IN","India","Maharashtra","Mumbai"
"18268416","18268671","IN","India","Uttar Pradesh","Agra"
"18268672","18269183","IN","India","Gujarat","Rajkot"
"18269184","18269439","IN","India","Tamil Nadu","Chetput"
"18269440","18269695","IN","India","Delhi","New Delhi"
